乌信天翁,Sooty Albatross,Phoebetria fusca,烟褐色的中型（84-89厘米）信天翁;;⚑眼后具星月形白斑，喙上具橙色线条，使原本高贵的鸟看起来很傻;;⚑似灰背信天翁，但头部和背部颜色一致，喙上具有橘黄色线，而后者为蓝灰色线;;⚑略似深色型巨鹱，但后者有更大的粉红色喙，颈部看起来更长;
灰背信天翁,Light-mantled Albatross,Phoebetria palpebrata,灰黑色的中型（78-93厘米）信天翁;;具有尖翅和尾;;⚑注意灰色的颈背与黑色头部形成对比;;⚑似乌信天翁，但喙上具有浅蓝色线，后背羽毛呈浅灰色;;通常独自出现，不会像其他信天翁一样跟随船只;
新西兰信天翁,Buller's Albatross,Thalassarche bulleri,小型（76-81厘米）南半球信天翁;;⚑所有年龄段都有粗黑色的翼下前缘，宽于萨氏信天翁和查岛信天翁，但比灰头信天翁要窄;;成鸟具灰色的头顶，黑色喙的上下都包裹着黄色边缘;;⚑第一年幼鸟（左图）头部灰色较浅，喙为淡色，上下颌之间具黑色细分割线;;⚑极似黄鼻信天翁，但喙上黄色条纹较宽，喙基部具宽黄色条纹且呈弧形（需要近距离从上往下看）;
印度洋黄鼻信天翁,Indian Yellow-nosed Albatross,Thalassarche carteri,小型（71-82厘米）信天翁;;身上羽毛呈白色，翼上和尾翼呈暗灰褐色，翼下覆羽呈白色并有窄的黑边;;⚑黑色喙窄长，上部为黄色，具橙红色尖端;;⚑极似黄鼻信天翁，但头部几乎为白色没有“帽子”的外观，且眼前部缺少明显的黑色“泪痕”;;⚑似灰头信天翁，但后者头部偏灰，翼下边缘具有更宽的黑色;
白顶信天翁,Shy Albatross,Thalassarche cauta,中大型（90-100厘米）信天翁;;头部呈白色，脸颊呈灰色，具“白顶”的外观;;翼尖覆羽较白，翼下的黑色边框较窄，胁下具一小块黑色斑;;⚑喙呈浅灰色且喙尖浅黄色;;⚑极似萨氏信天翁与查岛信天翁，鉴别关键在于喙的颜色和翼下覆羽的白色程度，其翼尖的白色较后两者更多;;远离繁殖地时通常无声，在巢中会发出鸣叫;
黄鼻信天翁,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,小型（71-82厘米）信天翁;;身上羽毛呈白色，翼上和尾翼呈暗灰褐色，翼下覆羽呈白色并有窄的黑边;;⚑黑色喙窄长，上部为黄色，具橙红色尖端;;⚑幼鸟（左图）喙几乎全黑;;⚑极似印度洋黄鼻信天翁，但头部和颈部呈浅灰色（注意其随羽毛老化将逐渐变白），且眼先具黑色“泪痕”;;⚑似灰头信天翁，但后者头部偏灰，翼下边缘具更宽的黑色;
灰头信天翁,Grey-headed Albatross,Thalassarche chrysostoma,小型（70-85厘米）信天翁;;头部和颈部呈灰色，翼下前缘和肘部黑边较宽;;⚑喙上和喙下都有黄色条纹，且具橙色尖端，喙上黄色条纹像嘴基逐渐变细;;⚑幼鸟（左下图）喙为黑色，整体似黑眉信天翁，但头部羽毛偏灰色或有白斑;;⚑似新西兰信天翁，但喙上的黄色更窄;
查岛信天翁,Chatham Albatross,Thalassarche eremita,中大型（90-100厘米）信天翁;;翼下的黑色边框较细，翼尖较黑;;⚑喙呈黄色且喙尖黑色;;⚑极似萨氏与白顶信天翁，但后两者喙偏灰色，头部和颈部呈浅灰色;;⚑似新西兰信天翁，但后者翼下前缘黑色较宽;;⚑幼鸟（右下图）与以上几种相似，但通常头部灰色最重，喙上具部分黄色;;仅在查塔姆群岛中的一座孤立岛屿：金字塔岛上繁殖;
黑眉信天翁,Black-browed Albatross,Thalassarche melanophris,南大洋的中型（79-93厘米）信天翁;;⚑头顶白色，在远距离时依然明显，黑色眉纹仅在近距离可见;;⚑成鸟喙橙黄色，尖端较亮，翼下的黑色不规则;;⚑幼鸟（右下和右上图）喙和尖端都为呈黑色，翼下呈黑色;;⚑似坎岛信天翁，但虹膜为深棕色;
萨氏信天翁,Salvin's Albatross,Thalassarche salvini,中大型（90-100厘米）黑白色信天翁;;⚑所有年龄段都有灰色的头部外观，下翼具狭窄的黑色前缘（幼鸟更宽）;;⚑成鸟喙呈淡黄色，喙尖具黑色斑块，且主要位于下颌;;⚑幼鸟（右下图）喙为暗灰色，尖端黑色;;⚑与白顶信天翁相比，翼尖较黑;
白臀洋海燕,Elliot's Storm Petrel,Oceanites gracilis,小型（15.5厘米）海燕;;⚑脚伸出尾尖，不同于加岛叉尾海燕;;⚑飞行显得相当虚弱和飘动，不像加岛叉尾海燕有劲的扇翅;;⚑似稍大的黄蹼洋海燕，但腹部中心白色;
黄蹼洋海燕,Wilson's Storm Petrel,Oceanites oceanicus,小型（15-20厘米）海燕;;⚑体型较暴风海燕略大，翅也更宽更圆，飞行时保持平直；翅后缘几乎呈直线，尾端呈方形;;⚑飞行时脚伸出尾部之外，黄色的脚蹼很难看到;;⚑白色的腰延伸到尾下，几乎相连;;⚑觅食时，翅膀会扬起到背后，形成深“V”字形，长腿拖在身后，会在海面做出反弹、跳跃、甚至舞蹈般的动作;;集群时会发出似雀的“吱吱”声;
黑洋海燕,Pincoya Storm Petrel,Oceanites pincoyae,小型（16厘米）长腿的海燕;;⚑腰上具独特的马蹄形状白斑;;⚑臀部为白色，似白臀洋海洋，但翼下具对比鲜明的白色条带;;⚑在大多数深色型海燕中，上翼对比鲜明的白色羽是独一无二的;;⚑部分个体可能与黄蹼洋海燕无法区分;,智利特有
白喉海燕,Polynesian Storm Petrel,Nesofregetta fuliginosa,大型（24-26厘米）海燕;;具宽阔的大翅和长的叉形尾;;⚑白色的腰和喉部斑块通常在短暂的观察中也很明显;;⚑特征为：鲜明的黑白色羽（淡色型）、相对较大的体型、白色喉部斑块以及长距离滑翔飞行并周期性地在海面上跳跃的组合;;⚑色型随分布而不同，一些岛屿（如萨摩亚）仅有黑色型（左图）;;在近海群落中出现，但通常在海上;;海上通常无声;
灰背海燕,Grey-backed Storm Petrel,Garrodia nereis,小型（16-19厘米）南大洋海燕;;头、颈、喉和胸呈灰黑色，背和上翼颜色较淡，腰呈灰色;;⚑注意白色的腹部和带有黑色边缘的白色下翅;;尾部为方形，黑色腿较短;;⚑与其他黑白色海燕的不同之处在于腰部为灰色而非白色；白脸海燕的腰部也为灰色，但体型更大，腿更长，脸上为白色，飞行更加灵活;
白脸海燕,White-faced Storm Petrel,Pelagodroma marina,引人注目的白色海燕（18-21厘米）;;⚑羽色独一无二，且注意带有深色面具的大面积白脸;;⚑还要注意极长的腿远远超出尾和相当细长的喙;;⚑具有独特的飞行风格：用僵硬的翅膀滑翔，双脚在海面上弹跳，就像一只跳跃的袋鼠;;觅食时可单独或成群出现；很少与其他海燕混群;
白腹舰海燕,White-bellied Storm Petrel,Fregetta grallaria,中型（18-22厘米）黑白相间的海燕;;⚑注意其独特的烟黑色上体和白色的腹部和臀部;;⚑与其他海燕的区别在于脚较短，在飞行时脚延伸至尾部末端或略超出尾部，并且没有黑腹舰海燕腹部的模糊黑色条纹;;觅食时，可见其用脚轻拍水面，捕食水面的小型鱿鱼和甲壳类动物;;繁殖地遍布南太平洋、南大西洋和南印度洋，繁殖后向北迁徙到热带地区；;
新喀海燕,New Caledonian Storm Petrel,Fregetta lineata,中型（20-21厘米）海燕;;⚑极似新西兰舰海燕，但翼下白色较少，仅延伸到“肩部”，且在下体整体的条纹更密集，尤其是在胁部；总体看起来也更瘦，显得颈部较长、尾部较长、翅较长;;见于珊瑚海附近，尤其是新喀里多尼亚周边；非繁殖期时，活动范围可能极为广泛;,澳大利亚近特有
新西兰舰海燕,New Zealand Storm Petrel,Fregetta maoriana,新西兰特有的小型（17厘米）海燕;;具深黑褐色的头、胸、上体和尾部;;腰和腹为白色，从胸部向下有不规则的深色纹路;;翼下有浅色的区域，边缘为深色;;⚑特别注意它的长腿，脚趾明显地延伸超过了尾部;;⚑有四种相似的物种：黄蹼洋海燕的下体和翼下部分为深色；黑腹舰海燕体型较大，腿较短但仍然超过尾部，腹部白色且中间有一条黑线；白腹舰海燕体型较大，脚不超过尾部；灰背海燕没有白色的腰部;;目前已知的繁殖地只有小巴里尔岛（Little Barrier Island）;,新西兰近特有
黑腹舰海燕,Black-bellied Storm Petrel,Fregetta tropica,亚南极水域的的中型（19.5-21厘米）海燕;;⚑具明显的白色腹部，可与大多数黑腹的海燕区分;;⚑通常有一条将白色腹部斑块一分为二的黑色条纹，但通常很难看到，特岛和高夫岛的亚种（右上图）腹部无黑色条纹;;⚑飞行风格独特，用腹部溅起水花，并用脚踢水来改变方向;;⚑极似白腹舰海燕，但后者通常出现在亚热带水域;
斑腰叉尾海燕,Band-rumped Storm Petrel,Hydrobates castro,中型（17-20厘米）海燕;;⚑似黄蹼洋海燕，但飞行时脚不伸出尾端，尾下的白色较黄蹼洋海燕更少;;⚑飞行模式类似于鹱， 振翅比白腰叉尾海燕快，滑翔距离也更长，具有独特的贴水飞行动作；不会像白腰叉尾海燕那样在水面上跳跃;;⚑飞行路线呈现独特的“Z”字形；会突然振翅，然后将翅膀保持水平，做贴水飞行;;在海上通常无声，但归巢时会发出嘈杂的叫声;
安氏叉尾海燕,Ainley's Storm Petrel,Hydrobates cheimomnestes,中型（18-19厘米）黑色海燕;;羽毛呈深灰色，有叉状深凹的尾，腰上具马蹄形白斑；上翅有浅色条纹;;⚑腰部斑块的范围是可变的，可能会被灰色的羽毛从中间分开;;⚑极似汤氏叉尾海燕和白腰叉尾海燕，扇翅较浅较僵硬，鉴别极其困难;;非繁殖期在海上度过，飞行不规律，经常用脚拍打海面;,北美特有
灰蓝叉尾海燕,Fork-tailed Storm Petrel,Hydrobates furcatus,独特的大型（20-23厘米）海燕;;拥有完全银灰色的羽毛;;⚑下翼对比鲜明，眼周黑色，尾深叉;;单独或成群出现，经常与其他海燕混群;;在海上通常无声，归巢时会发出刺耳的“krieh”声;
灰叉尾海燕,Ashy Storm Petrel,Hydrobates homochroa,中型（18-20厘米）腰色深的海燕;;尾长而有深叉，羽毛呈灰色;;⚑翼下具浅色条纹（有时不太明显）;;在海上通常无声，在巢内会发出刺耳的“churrr”声;,北美特有
环叉尾海燕,Ringed Storm Petrel,Hydrobates hornbyi,中型（20-22厘米）海燕;;⚑与其他所有海燕不同，具黑色的头冠和领，白色的下体与深色的翅形成鲜明对比;;上体也很醒目，具黑色的头冠、强烈的翼上图案，以及灰色的尾（没有明显的白色腰斑）;;⚑比同分布内的大多数海燕要大，但体型与乌叉尾海燕和美州黑叉尾海燕相似，且常与它们聚集在一起;
佛得角叉尾海燕,Cape Verde Storm Petrel,Hydrobates jabejabe,中型（18.5-20.5厘米）海燕;;⚑极似斑腰和蒙氏叉尾海燕，无已知的野外识别特征可以区分三者；但上翼图案似乎更具对比，腰斑更宽;;繁殖于佛得角岛屿上的洞穴和裂缝中;;在繁殖地的叫声与斑腰和蒙氏叉尾海燕不同，特点是非常长且没有停顿;,佛得角近特有
白腰叉尾海燕,Leach's Storm Petrel,Hydrobates leucorhous,中型（18-22厘米）海燕;;整体褐色，翼上有浅棕色粗翼带，尾羽分叉深，翅长，翼型棱角明显，振翅幅度深;;⚑大部分个体具白腰，但存在罕见的黑腰型变种（左上图）;;⚑飞行姿态似夜鹰：以猛然扭动和转向的方式“跳跃”;;⚑相较于黄蹼洋海燕跟斑腰叉尾海燕，本种腰部白色更接近“V”字型，而且中央经常有条暗色带;;⚑在大西洋，与斑腰叉尾海燕最相似，但注意本种翼上较明显的浅色带、叉尾、跳跃式的飞行;;⚑在太平洋，本种有些个体无白腰或仅有小片白腰，要特别观察飞行方式以及浅色翼带，以跟其他海燕区别;
瓜岛叉尾海燕,Guadalupe Storm Petrel,Hydrobates macrodactylus,大型（22.5-24厘米）叉尾海燕;;⚑与其亲属白腰叉尾海燕在外观上几乎不能分辨，但体型较大及其翼底羽毛较淡色;;只在下加利福尼亚州对面的瓜达卢普岛（Guadalupe）繁殖;;最后一次发现于1912年，菲尔德自然历史博物馆存有标本;,瓜达卢普岛特有
乌叉尾海燕,Markham's Storm Petrel,Hydrobates markhami,大型（21-24厘米）深色海燕;;全身黑色，翅上有明显的浅色条纹；尾深叉;;⚑似美州黑叉尾海燕，但翼带更明显，扇翅较浅，脚较小（后者的脚大且经常下垂）;;繁殖地于内陆的阿塔卡马沙漠，夜晚归巢;
日本叉尾海燕,Matsudaira's Storm Petrel,Hydrobates matsudairae,深褐色、瘦长的大型（24-25厘米）海燕;;⚑略似褐燕鹱，但尾分叉而不成楔形;;⚑似黑叉尾海燕，但覆羽的浅色斑更宽且抵达翅前缘，初级飞羽的白色羽轴为7枚（而非后者的6枚）并形成了明显的淡色斑，飞行风格更加优雅;;⚑似褐翅叉尾海燕，但后者的初级飞羽通常缺少白色的羽轴;;强健，缓慢的飞行风格与小型海燕的迅速飞行形成鲜明对比;;在海上无声;
美州黑叉尾海燕,Black Storm Petrel,Hydrobates melania,大型（23厘米）黑色、棱角分明的海燕;;尾深叉，看起来颈长，喙大;;⚑上翼具微弱的淡褐色带，但不会到达翼的前缘;;⚑飞行时流畅而有力，扇翅深沉;;⚑极似乌叉尾海燕，但体型较大，喙较粗壮，上翼带较暗，通常更靠近海岸;
小海燕,Least Storm Petrel,Hydrobates microsoma,相当小（13-15厘米）的全黑海燕;;⚑小体型和楔形的尾部使其不同于其他同样暗色腰的海燕;;常与体型差异明显的美州黑叉尾海燕混群;;⚑飞行快速飘忽似蝙蝠，扇翅相当快，很少或没有滑翔;
黑叉尾海燕,Swinhoe's Storm Petrel,Hydrobates monorhis,中型（18-20厘米）海燕，主要分布于太平洋;;⚑整体暗褐，翼上有浅黄褐色的宽翼带，距离近时可以看到6枚白色的初级飞羽羽轴;;⚑似褐翅叉尾海燕和乌叉尾海燕，但后者体型更大、尾叉更深;;⚑极似黑腰型的白腰叉尾海燕，但后者缺少白色的初级飞羽羽轴，飞行时较不规则，翅膀弯曲幅度大;;⚑本种飞行时常显放松姿态，翅比白腰叉尾海燕伸展的更开;;于深海海域活动，但在台风来临或过后偶尔会飞近岸，平时会在海面上飘飞，用喙在海面觅食;
蒙氏叉尾海燕,Monteiro's Storm Petrel,Hydrobates monteiroi,中型（19厘米）海燕;;⚑极似斑腰叉尾海燕，两者主要在繁殖时间和随后的换羽期上有所不同：前者在夏季繁殖，繁殖后换羽，而后者在冬季繁殖并在冬季换羽；前者平均而言具有更长且更深叉的尾;;繁殖于岛屿上的洞穴和裂缝中;,亚速尔群岛特有
暴风海燕,European Storm Petrel,Hydrobates pelagicus,小型（14-18厘米）海燕，只有白腰叉尾海燕体型的2/3;;尾端呈方形，腰部白色，翼下具白色条纹;;⚑飞行时，脚不伸出尾端，翼上的覆羽的淡色斑不似黄蹼洋海燕明显;;⚑觅食时，翅膀会扬起到背后，形成深“V”字形，短短的腿则不断拍打海面（见右下图）;;⚑飞行模式类似于蝙蝠，具独特的微弱振翅动作；飞行时紧贴海面，经常伴随着风来回摆动或者直接被风推着飞;
汤氏叉尾海燕,Townsend's Storm Petrel,Hydrobates socorroensis,墨西哥和南加州海岸的太平洋海燕（16.5-18厘米）;;整体深灰色，尾羽有分叉，上翅具浅色条纹；腰黑色或白色;;⚑极似白腰叉尾海燕，但更小更黑，翅更圆，翅上条纹不明显;;⚑极似安氏叉尾海燕，但产卵期不同，为5-6月，后者为11月中旬到12月;;⚑飞行不规律，经常用脚拍打海面;,北美特有
加岛叉尾海燕,Wedge-rumped Storm Petrel,Hydrobates tethys,非常小（14.5-16.5厘米）的海燕;;全身黑色，带有大的楔形白色腰部和略带凹口的尾尖;;⚑似略大的白腰叉尾海燕和索科洛岛海燕海燕，但扇翅更深，白色腰部斑块更大更长;;常与小海燕和美洲黑叉尾海燕混群;
褐翅叉尾海燕,Tristram's Storm Petrel,Hydrobates tristrami,最大（24-25厘米）的暴风海燕之一;;整体呈深巧克力棕色，带有突出的浅色腕带;;⚑在良好光照条件下，可见腰部较背部和尾部略淡，与黑叉尾海燕和日本叉尾海燕不同，且缺少后两者的白色初级飞羽羽轴;;⚑新羽的个体，注意其头部和背部的灰色光泽;
雪鹱,Snow Petrel,Pagodroma nivea,不会错认、宛如梦幻的鸟（30-40厘米）;;⚑比其飞翔的背景：南极的雪峰和冰川，还要洁白;;⚑飞行快速且不规则，常伴随频繁的扇翅;;在海岸和内陆的岩石峭壁和岩架上繁殖，并在浮冰周围觅食；经常降落在冰山上休息，有时会以小群形式出现;
南极鹱,Antarctic Petrel,Thalassoica antarctica,中型（40-46厘米）引人注目的棕白色鹱;;⚑不会误认，但在远处注意与花斑鹱区分;;分布于南极洲及其周边海域与岛屿；在沿海和内陆的岩石斜坡及悬崖壁上繁殖；非繁殖期时，会向北扩散，有时远至福克兰群岛，常大量出现在觅食的鲸类或渔船周围;
花斑鹱,Pintado Petrel,Daption capense,中型（38-40厘米）非常独特的南大洋海鸟;;⚑背部的白色斑点在分布范围内变化较大（如左图），但没有其他海鸟拥有这种白色斑驳或“涂绘”般的图案;;生活在南部凉爽海域；定期向北迁徙至洪堡洋流区域；在南大洋是“专业”的船舶跟随者，通常成群结队地绕着一艘船盘旋数小时;
巨鹱,Southern Giant Petrel,Macronectes giganteus,巨型（85-100厘米）海鸟;;⚑喙粗大，具特征性的绿色喙尖，成鸟虹膜为黑色;;⚑具棕色型（右图）和白色型（中图）两种色型，棕色型个体整体呈深色，或头部为白色，很少有头部及下体皆为白色的情况；罕见的白色型个体全身雪白，散布着黑色羽毛;;⚑部分幼鸟（右下图）喙部为淡粉色，无法与霍氏巨鹱区分;;分布广泛且颇为常见，会与鸥类一起在污水排放处觅食，或与信天翁一起在渔船附近搜寻食物；常跟随船只;
霍氏巨鹱,Northern Giant Petrel,Macronectes halli,巨型（80-95厘米）海鸟;;⚑喙粗大，喙尖颜色比剩余颜色深，且通常为红色或棕色;;⚑成鸟虹膜淡色，且不具有（南方）巨鹱的白色型个体;;⚑部分幼鸟（右下图）喙部为黄粉色，无法与巨鹱区分;;习性似南方巨鹱，两者经常一起出现，常跟随船只;
暴雪鹱,Northern Fulmar,Fulmarus glacialis,大型（45-50厘米）羽色多变的海燕形鹱;;⚑具浅色型（左图）及深色型（右图），但深色型较为普遍;;⚑浅色型似鸥，区别在嘴较粗短，颈较粗；振翅及滑翔飞行，飞行时翅膀会保持僵直状态不弯曲;;⚑深色型与大型鹱易混淆，区别在身体比例及尾的形状不同;;在海上通常无声，在巢区会发出包括“AArk aaw”或“aak aak aak”的叫声;
银灰暴风鹱,Southern Fulmar,Fulmarus glacialoides,独特的中型（46-50厘米）银灰色鹱鸟;;⚑注意其深色翼尖上的白色羽，近距离观察时可以看到粉色的喙，喙尖为黑色，并带有蓝色的鼻管;;通常成群出现，经常跟随船只；可以在麦哲伦海峡沿岸的污水排放处看到它们与巨鹱一起觅食和搜寻残余食物;
小圣赫勒拿海燕,Olson's Petrel,Bulweria bifax,圣赫勒拿岛特有的已灭绝海燕;;⚑约于1502年发现该岛后不久就灭绝了;,圣赫勒拿岛特有
褐燕鹱,Bulwer's Petrel,Bulweria bulwerii,小型（26-28厘米）苗条的鸌;;翅窄长，尾长;;全身暗褐，但翼上有皮黄色的粗翼带;;⚑与黑叉尾海燕区别在体型较大，尾长且呈楔形（飞行时显得长而尖）;;⚑飞行时，通常不会离海面太高，跟其他鸌相比，较少出现大幅度的圆弧飞行;;叫声是轻柔的吠声，仅可在繁殖地听到;
厚嘴燕鹱,Jouanin's Petrel,Bulweria fallax,全黑、鸽子大小（30-32厘米）的海燕;;翅宽，喙黑色、甚粗;;⚑似褐燕鹱，但整体看起来更笨重，尾更短，喙更大，翅上没有白色;;⚑飞行能力强，常滑翔，偶尔扇翅，保持靠近水面;
黑圆尾鹱,Mascarene Petrel,Pseudobulweria aterrima,中型（35-36厘米）全黑色鹱;;⚑通常在飞行中呈现出十字形状;;⚑最似灰翅圆尾鹱，只能通过细微的差异区分，包括更重的头部和喙，颈和尾部更长，翅更圆，飞行动作不那么爆炸性;;⚑似厚嘴燕鹱，但体型更大，翅更长且更僵，尾更短;;⚑似楔尾鹱，但有更重的喙;;⚑似暗色型特岛圆尾鹱，但缺少银色闪光的翼下;;在留尼汪岛的悬崖和裂缝上筑巢，并在周围的海洋中觅食;;在繁殖地区的夜晚会发出怪异的尖叫声;,留尼汪近特有
贝氏圆尾鹱,Beck's Petrel,Pseudobulweria becki,深棕色的中型（29-34厘米）鹱;;具白色的下体和强烈的兜帽外观;;⚑极似更大的钩嘴圆尾鹱，但嘴更小、更薄，翅更圆;;⚑其飞行方式比钩嘴圆尾鹱更为无规则，更为流畅和摇摆不定，而钩嘴圆尾鹱则更喜用其长翅不停地翱翔;;⚑似白腹圆尾鹱，但缺少后者淡色的喉部和下翼前缘的淡色条纹;,俾斯麦群岛近特有
斐济圆尾鹱,Fiji Petrel,Pseudobulweria macgillivrayi,小型（29-30厘米）全黑色的鹱;;整体呈巧克力棕色或黑色;;⚑由于尾部逐渐变细，使其呈现独特的短颈和雪茄形轮廓;;⚑缺少如贝氏圆尾鹱、钩嘴圆尾鹱等白色的腹部;;⚑似褐燕鹱，当缺少后者上翼的苍白条纹，且看起来颈部较短，飞行时不会高昂起头;;⚑整体飞行风格比褐燕鹱更炫技;,斐济特有
钩嘴圆尾鹱,Tahiti Petrel,Pseudobulweria rostrata,中型（38-42厘米）海鸟;;体背接近全黑，白色的腹部与黑褐色的体羽形成鲜明对比;;⚑翼下覆羽中央有淡色横带，脚不露出尾端;;⚑注意非常狭长的翅膀和厚重的喙;;⚑飞行风格通常相当轻松，带有缓慢有力的翼拍;
白颏风鹱,White-chinned Petrel,Procellaria aequinoctialis,分布于南半球海洋的大型（50-58厘米）鹱;;整体黑色;;⚑喙尖为浅白色，可据此与大黑风鹱和黑风鹱区分，后两者喙尖黑色;;⚑下颏为黑色或带有小块白斑（小图），在野外往往难以看清，大西洋和印度洋的种群，白斑可能更大;;常常往北迁徙到洪堡海流;
灰风鹱,Grey Petrel,Procellaria cinerea,整体单调而缺乏图纹的大型（48-50厘米）鹱;;背部呈银灰褐色，腹部为白色，喉部为浅色;;下翼呈暗色且无斑纹;;喙呈淡黄色，带有深色边缘;;⚑与其他鹱鸟相比，简单的两色使其与众不同，而肥胖的体型和短嘴的轮廓则使其与外观类似的鹱鸟区分;;⚑追随南方海洋的冷水洋流，挺直翅膀快速而直线地飞行;;繁殖于南大西洋、太平洋和印度洋的岛屿，偏爱陡峭的山坡和有充足的地面覆盖物的区域;
白眶风鹱,Spectacled Petrel,Procellaria conspicillata,大型（55厘米）结实的深色鹱;;⚑在脸上有明显的白色“眼镜”状斑纹;;⚑飞行时交替进行缓慢的扇翅与滑翔;;⚑似白颏风鹱，但后者没有白色的脸部斑纹;;通常见于相对温暖的远洋水域；只在Inaccessible岛上繁殖;
黑风鹱,Black Petrel,Procellaria parkinsoni,中型（41-46厘米）全黑的鹱;;喙两侧为黄色，喙尖深色;;⚑脚黑色，有别于淡足鹱;;⚑似大黑风鹱和白颏风鹱，但体型较小，喙较小且尖端更黑;;仅在新西兰的大堡礁和小堡礁岛上繁殖;
大黑风鹱,Westland Petrel,Procellaria westlandica,大型（50-55厘米）全黑色鹱;;喙呈浅米色，喙尖黑色；脚黑色;;⚑极似白颏风鹱且常与之一起出现，但具特有的黑色喙尖，前者喙尖多为淡色;;⚑极似黑风鹱，但后者体型稍小，偏爱热带和亚热带温暖的水域，且头部较小，更圆，喙稍细;;在新西兰繁殖，分布范围横跨南太平洋温带海域直至智利，在智利的洪堡洋流区域和峡湾，数量从稀少到局部较为常见;
猛鹱,Cory's Shearwater,Calonectris borealis,笨拙的大型（44-49厘米）海鸟;;喙淡黄色;;翼下覆羽和尾下覆羽白色;;⚑棕色的头和白色的喉咙之间几乎没有反差，有别于大鹱明显的“加盖”;;⚑与其他鹱相比扇翅更慢，尤其是在平静的环境下;
斯氏鹱,Scopoli's Shearwater,Calonectris diomedea,大型（48-56厘米）海鸟;;⚑黄色的喙通常只在近处可见;;⚑棕色的头和白色的喉之间几乎没有反差（与大鹱明显不同）;;⚑极似佛得角鹱和猛鹱，不同之处在于更淡的头部，以及更大的体型;;⚑飞行懒散而费力，翅膀灵活；很少进行缓慢的、振翅幅度很大的飞行和长距离滑翔;
佛得角鹱,Cape Verde Shearwater,Calonectris edwardsii,中型（42-47厘米）海鸟;;额头常有淡色的羽毛;;⚑飞行似猛鹱，但更轻盈，翅倾向于明显的弯曲;;⚑似猛鹱，但较小，头部更黑，喙偏暗粉色；上体颜色较猛鹱更冷;;⚑筑巢于崖壁和石缝中（左上图）;
白额鹱,Streaked Shearwater,Calonectris leucomelas,西太平洋地区的中型（40-46厘米）鹱;;⚑腹面白色，背面褐色，褐白斑驳的头部相当独特;;⚑飞行姿态从容悠闲像大鸥，除非遇到强风，此时会出现更多大幅度的圆弧状飞行；偶尔可从岸上看到，尤其是台风期间;;在大陆棚海域跟远洋海域都会觅食，经常成大群捕食被其他大型肉食性鱼类追逐的小鱼;
灰背鹱,Buller's Shearwater,Ardenna bulleri,中型（43-47厘米）银色鹱;;腹部和下翼白色;;⚑飞行中可见独特的“M”型上翼;;⚑似淡色型的楔尾鹱，但翼下白色，缺乏宽的、深色后缘和深色尾翼;
淡足鹱,Flesh-footed Shearwater,Ardenna carneipes,中型（40-48厘米）敦实的巧克力褐色鹱;;喙呈淡粉色;;⚑翼下初级飞羽及部分次级飞羽比周围浅，形成色差;;⚑脚肉粉色，可通过该特征与太平洋上大多数鹱区分，但通常难以看到;;⚑飞行时，全身大致黑褐，双翼宽长，尾羽短圆;;在海上通常无声，鸣叫为尖利嘶哑的“zi - zi - za - ya”声;
粉脚鹱,Pink-footed Shearwater,Ardenna creatopus,大型（45-50厘米）多态的棕褐色鹱;;翼下覆羽白色，尾部覆羽黑色，身侧带棕色条纹;;⚑喙呈粉黄色；脚粉色但难以看到;;⚑与其他鹱相比，飞行时扇翅缓慢、慵懒;;在海上通常无声，喂食时会发出带鼻音的叫声;
大鹱,Great Shearwater,Ardenna gravis,具黑色头冠的大型（43-51厘米）鹱;;头冠羽黑色界线清晰，腹部有棕色斑块；翼下大部分白色，但具深色斑纹;;⚑明显大于大西洋鹱，翅更长，且翼拍较为僵硬;;⚑似猛鹱，但注意全黑的嘴，深色的头顶和稍快的扇翅频率;;⚑飞行时翅常常略微弓起，身体交替左右倾斜，扇翅僵硬;
灰鹱,Sooty Shearwater,Ardenna grisea,大型（40-51厘米）体型细长的烟褐色鹱;;喙细长，体型小于大多数的海鸥;;⚑翼下覆羽银白色，在振翼及滑翔时看似白色闪辉，扇翅快而敏捷;;脚和腿外侧呈黑色，内侧为粉红色;;⚑似短尾鹱，但喙较长，翼下覆羽白色较多，额弓较平;;⚑似楔尾鹱和淡足鹱，但翼下覆羽白色，脚色深，飞行较快且较直;;在海上通常无声，喂食时发出似婴儿扭捏的“a - a - ye - - e”声;
楔尾鹱,Wedge-tailed Shearwater,Ardenna pacifica,中型（38-47厘米）翼长而尾呈长楔形的鹱;;翅颇宽，尾长、成楔形，飞行时通常是收紧的;;⚑具暗色型（左图）和淡色型（右图）两种;;⚑注意背部羽毛浅色羽缘形成的鳞状斑，以及灰色调的细长嘴喙;;⚑通常会混在其他海鸟的觅食群中；典型的飞行姿态不疾不徐，带着轻快的滑翔和僵直的振翅;;叫声为“wo - wu - u -- e”的呜咽声;
