Struthio molybdophanes	Somali Ostrich
Cyornis whitei	Hill Blue Flycatcher
Cyornis banyumas	Javan Blue Flycatcher
Cyornis montanus	Dayak Blue Flycatcher
Cyornis kadayangensis	Meratus Blue Flycatcher
Cyornis caerulatus	Sunda Blue Flycatcher
Cyornis turcosus	Malaysian Blue Flycatcher
Cyornis lemprieri	Palawan Blue Flycatcher
Cyornis superbus	Bornean Blue Flycatcher
Cyornis tickelliae	Tickell's Blue Flycatcher
Cyornis sumatrensis	Indochinese Blue Flycatcher
Cyornis rufigastra	Mangrove Blue Flycatcher
Cyornis omissus	Sulawesi Blue Flycatcher
Cyornis kalaoensis	Kalao Blue Flycatcher
Cyornis brunneatus	Brown-chested Jungle Flycatcher
Cyornis nicobaricus	Nicobar Jungle Flycatcher
Cyornis umbratilis	Grey-chested Jungle Flycatcher
Cyornis olivaceus	Fulvous-chested Jungle Flycatcher
Cyornis ruficauda	Philippine Jungle Flycatcher
Cyornis ocularis	Sulu Jungle Flycatcher
Cyornis ruficrissa	Crocker Jungle Flycatcher
Cyornis pelingensis	Banggai Jungle Flycatcher
Cyornis colonus	Sula Jungle Flycatcher
Erithacus rubecula	European Robin
Swynnertonia swynnertoni	Swynnerton's Robin
Pogonocichla stellata	White-starred Robin
Stiphrornis pyrrholaemus	Olive-backed Forest Robin
Stiphrornis erythrothorax	Orange-breasted Forest Robin
Stiphrornis mabirae	Yellow-breasted Forest Robin
Cossyphicula roberti	White-bellied Robin-Chat
Cossyphicula isabellae	Mountain Robin-Chat
Chamaetylas poliocephala	Brown-chested Alethe
Chamaetylas poliophrys	Red-throated Alethe
Chamaetylas choloensis	Thyolo Alethe
Chamaetylas fuelleborni	White-chested Alethe
Cossypha cyanocampter	Blue-shouldered Robin-Chat
Cossypha semirufa	Rüppell's Robin-Chat
Cossypha heuglini	White-browed Robin-Chat
Cossypha natalensis	Red-capped Robin-Chat
Cossypha dichroa	Chorister Robin-Chat
Cossypha heinrichi	White-headed Robin-Chat
Cossypha niveicapilla	Snowy-crowned Robin-Chat
Cossypha albicapillus	White-crowned Robin-Chat
Cichladusa arquata	Collared Palm Thrush
Cichladusa ruficauda	Rufous-tailed Palm Thrush
Cichladusa guttata	Spotted Palm Thrush
Xenocopsychus ansorgei	Angola Cave Chat
Dessonornis archeri	Archer's Ground Robin
Dessonornis anomalus	Olive-flanked Ground Robin
Dessonornis caffer	Cape Robin-Chat
Dessonornis humeralis	White-throated Robin-Chat
Sheppardia polioptera	Grey-winged Robin-Chat
Sheppardia poensis	Short-tailed Akalat
Sheppardia bocagei	Bocage's Akalat
Sheppardia cyornithopsis	Lowland Akalat
Sheppardia aequatorialis	Equatorial Akalat
Sheppardia sharpei	Sharpe's Akalat
Sheppardia gunningi	East Coast Akalat
Sheppardia gabela	Gabela Akalat
Sheppardia montana	Usambara Akalat
Sheppardia lowei	Iringa Akalat
Sheppardia aurantiithorax	Rubeho Akalat
Irania gutturalis	White-throated Robin
Luscinia luscinia	Thrush Nightingale
Luscinia megarhynchos	Common Nightingale
Luscinia phaenicuroides	White-bellied Redstart
Luscinia svecica	Bluethroat
Calliope pectardens	Firethroat
Calliope obscura	Blackthroat
Calliope calliope	Siberian Rubythroat
Calliope pectoralis	Himalayan Rubythroat
Calliope tschebaiewi	Chinese Rubythroat
Myiomela leucura	White-tailed Robin
Myiomela sumatrana	Sumatran Blue Robin
Myiomela diana	Javan Blue Robin
Enicurus scouleri	Little Forktail
Enicurus leschenaulti	White-crowned Forktail
Enicurus borneensis	Bornean Forktail
Enicurus maculatus	Spotted Forktail
Enicurus velatus	Sunda Forktail
Enicurus ruficapillus	Chestnut-naped Forktail
Enicurus immaculatus	Black-backed Forktail
Enicurus schistaceus	Slaty-backed Forktail
Cinclidium frontale	Blue-fronted Robin
Myophonus blighi	Sri Lanka Whistling Thrush
Myophonus melanurus	Shiny Whistling Thrush
Myophonus glaucinus	Javan Whistling Thrush
Myophonus castaneus	Brown-winged Whistling Thrush
Myophonus borneensis	Bornean Whistling Thrush
Myophonus robinsoni	Malayan Whistling Thrush
Myophonus horsfieldii	Malabar Whistling Thrush
Myophonus insularis	Taiwan Whistling Thrush
Myophonus caeruleus	Blue Whistling Thrush
Heinrichia calligyna	Great Shortwing
Leonardina woodi	Bagobo Babbler
Vauriella gularis	Eyebrowed Jungle Flycatcher
Vauriella insignis	White-browed Jungle Flycatcher
Vauriella albigularis	White-throated Jungle Flycatcher
Vauriella goodfellowi	Slaty-backed Jungle Flycatcher
Larvivora brunnea	Indian Blue Robin
Larvivora cyane	Siberian Blue Robin
Larvivora akahige	Japanese Robin
Larvivora tanensis	Izu Robin
Larvivora komadori	Ryukyu Robin
Larvivora namiyei	Okinawa Robin
Larvivora sibilans	Rufous-tailed Robin
Larvivora ruficeps	Rufous-headed Robin
Brachypteryx hyperythra	Rusty-bellied Shortwing
Brachypteryx leucophris	Lesser Shortwing
Brachypteryx cruralis	Himalayan Shortwing
Brachypteryx sinensis	Chinese Shortwing
Brachypteryx goodfellowi	Taiwan Shortwing
Brachypteryx poliogyna	Philippine Shortwing
Brachypteryx erythrogyna	Bornean Shortwing
Brachypteryx saturata	Sumatran Shortwing
Brachypteryx montana	Javan Shortwing
Brachypteryx floris	Flores Shortwing
Ficedula zanthopygia	Yellow-rumped Flycatcher
Ficedula elisae	Green-backed Flycatcher
Ficedula narcissina	Narcissus Flycatcher
Ficedula owstoni	Ryukyu Flycatcher
Ficedula mugimaki	Mugimaki Flycatcher
Ficedula erithacus	Slaty-backed Flycatcher
Ficedula hyperythra	Snowy-browed Flycatcher
Ficedula tricolor	Slaty-blue Flycatcher
Ficedula henrici	Damar Flycatcher
Ficedula hodgsoni	Pygmy Flycatcher
Ficedula strophiata	Rufous-gorgeted Flycatcher
Ficedula sapphira	Sapphire Flycatcher
Ficedula superciliaris	Ultramarine Flycatcher
Ficedula westermanni	Little Pied Flycatcher
Ficedula ruficauda	Rusty-tailed Flycatcher
Ficedula subrubra	Kashmir Flycatcher
Ficedula parva	Red-breasted Flycatcher
Ficedula albicilla	Taiga Flycatcher
Ficedula speculigera	Atlas Pied Flycatcher
Ficedula semitorquata	Semicollared Flycatcher
Ficedula albicollis	Collared Flycatcher
Ficedula hypoleuca	European Pied Flycatcher
Ficedula nigrorufa	Black-and-orange Flycatcher
Ficedula riedeli	Tanimbar Flycatcher
Ficedula dumetoria	Rufous-chested Flycatcher
Ficedula platenae	Palawan Flycatcher
Ficedula disposita	Furtive Flycatcher
Ficedula rufigula	Rufous-throated Flycatcher
Ficedula buruensis	Cinnamon-chested Flycatcher
Ficedula bonthaina	Lompobattang Flycatcher
Ficedula timorensis	Black-banded Flycatcher
Ficedula harterti	Sumba Flycatcher
Ficedula basilanica	Little Slaty Flycatcher
Ficedula crypta	Cryptic Flycatcher
Ficedula luzoniensis	Bundok Flycatcher
Tarsiger cyanurus	Red-flanked Bluetail
Tarsiger albocoeruleus	Qilian Bluetail
Tarsiger rufilatus	Himalayan Bluetail
Tarsiger hyperythrus	Rufous-breasted Bush Robin
Tarsiger indicus	White-browed Bush Robin
Tarsiger formosanus	Taiwan Bush Robin
Tarsiger chrysaeus	Golden Bush Robin
Tarsiger johnstoniae	Collared Bush Robin
Heteroxenicus stellatus	Gould's Shortwing
Phoenicurus erythronotus	Eversmann's Redstart
Phoenicurus alaschanicus	Przevalski's Redstart
Phoenicurus frontalis	Blue-fronted Redstart
Phoenicurus coeruleocephala	Blue-capped Redstart
Phoenicurus schisticeps	White-throated Redstart
Phoenicurus leucocephalus	White-capped Redstart
Phoenicurus bicolor	Luzon Water Redstart
Phoenicurus fuliginosus	Plumbeous Water Redstart
Phoenicurus auroreus	Daurian Redstart
Phoenicurus hodgsoni	Hodgson's Redstart
Phoenicurus erythrogastrus	Güldenst?dt's Redstart
Phoenicurus ochruros	Black Redstart
Phoenicurus moussieri	Moussier's Redstart
Phoenicurus phoenicurus	Common Redstart
Monticola cinclorhyncha	Blue-capped Rock Thrush
Monticola rufiventris	Chestnut-bellied Rock Thrush
Monticola gularis	White-throated Rock Thrush
Monticola brevipes	Short-toed Rock Thrush
Monticola explorator	Sentinel Rock Thrush
Monticola imerina	Littoral Rock Thrush
Monticola erythronotus	Amber Mountain Rock Thrush
Monticola sharpei	Forest Rock Thrush
Monticola rufocinereus	Little Rock Thrush
Monticola saxatilis	Common Rock Thrush
Monticola solitarius	Blue Rock Thrush
Monticola semirufus	White-winged Cliff Chat
Monticola rupestris	Cape Rock Thrush
Monticola angolensis	Miombo Rock Thrush
Saxicola jerdoni	Jerdon's Bush Chat
Saxicola ferreus	Grey Bush Chat
Saxicola gutturalis	White-bellied Bush Chat
Saxicola rubetra	Whinchat
Saxicola macrorhynchus	White-browed Bush Chat
Saxicola caprata	Pied Bush Chat
Saxicola insignis	White-throated Bush Chat
Saxicola leucurus	White-tailed Stonechat
Saxicola maurus	Siberian Stonechat
Saxicola tectes	Reunion Stonechat
Saxicola torquatus	African Stonechat
Saxicola dacotiae	Canary Islands Stonechat
Saxicola rubicola	European Stonechat
Campicoloides bifasciatus	Buff-streaked Chat
Emarginata sinuata	Sickle-winged Chat
Emarginata schlegelii	Karoo Chat
Emarginata tractrac	Tractrac Chat
Pinarochroa sordida	Moorland Chat
Thamnolaea cinnamomeiventris	Mocking Cliff Chat
Myrmecocichla nigra	Sooty Chat
Myrmecocichla aethiops	Anteater Chat
Myrmecocichla formicivora	Ant-eating Chat
Myrmecocichla tholloni	Congo Moor Chat
Myrmecocichla monticola	Mountain Chat
Myrmecocichla melaena	Rüppell's Black Chat
Myrmecocichla arnotti	Arnot's Chat
Oenanthe monacha	Hooded Wheatear
Oenanthe deserti	Desert Wheatear
Oenanthe hispanica	Western Black-eared Wheatear
Oenanthe pleschanka	Pied Wheatear
Oenanthe melanoleuca	Eastern Black-eared Wheatear
Oenanthe cypriaca	Cyprus Wheatear
Oenanthe seebohmi	Atlas Wheatear
Oenanthe oenanthe	Northern Wheatear
Oenanthe pileata	Capped Wheatear
Oenanthe bottae	Buff-breasted Wheatear
Oenanthe frenata	Rusty-breasted Wheatear
Oenanthe isabellina	Isabelline Wheatear
Oenanthe heuglinii	Heuglin's Wheatear
Oenanthe phillipsi	Somali Wheatear
Oenanthe albifrons	White-fronted Black Chat
Oenanthe moesta	Red-rumped Wheatear
Oenanthe melanura	Blackstart
Oenanthe familiaris	Familiar Chat
Oenanthe dubia	Sombre Rock Chat
Oenanthe scotocerca	Brown-tailed Rock Chat
Oenanthe fusca	Brown Rock Chat
Oenanthe picata	Variable Wheatear
Oenanthe albonigra	Hume's Wheatear
Oenanthe finschii	Finsch's Wheatear
Oenanthe lugens	Mourning Wheatear
Oenanthe xanthoprymna	Kurdish Wheatear
Oenanthe chrysopygia	Red-tailed Wheatear
Oenanthe leucura	Black Wheatear
Oenanthe leucopyga	White-crowned Wheatear
Oenanthe lugentoides	Arabian Wheatear
Oenanthe lugubris	Abyssinian Wheatear
Promerops cafer	Cape Sugarbird
Promerops gurneyi	Gurney's Sugarbird
Modulatrix stictigula	Spot-throat
Kakamega poliothorax	Grey-chested Babbler
Arcanator orostruthus	Dapple-throat
Prionochilus maculatus	Yellow-breasted Flowerpecker
Prionochilus percussus	Crimson-breasted Flowerpecker
Prionochilus plateni	Palawan Flowerpecker
Prionochilus xanthopygius	Yellow-rumped Flowerpecker
Prionochilus thoracicus	Scarlet-breasted Flowerpecker
Pachyglossa olivacea	Olive-backed Flowerpecker
Pachyglossa agilis	Thick-billed Flowerpecker
Pachyglossa everetti	Brown-backed Flowerpecker
Pachyglossa propria	Whiskered Flowerpecker
Pachyglossa chrysorrhea	Yellow-vented Flowerpecker
Pachyglossa melanozantha	Yellow-bellied Flowerpecker
Pachyglossa vincens	Legge's Flowerpecker
Dicaeum dayakorum	Spectacled Flowerpecker
Dicaeum annae	Golden-rumped Flowerpecker
Dicaeum aureolimbatum	Yellow-sided Flowerpecker
Dicaeum nigrilore	Olive-capped Flowerpecker
Dicaeum anthonyi	Yellow-crowned Flowerpecker
Dicaeum kampalili	Flame-crowned Flowerpecker
Dicaeum bicolor	Bicolored Flowerpecker
Dicaeum quadricolor	Cebu Flowerpecker
Dicaeum australe	Red-keeled Flowerpecker
Dicaeum haematostictum	Black-belted Flowerpecker
Dicaeum retrocinctum	Scarlet-collared Flowerpecker
Dicaeum trigonostigma	Orange-bellied Flowerpecker
Dicaeum hypoleucum	Buzzing Flowerpecker
Dicaeum erythrorhynchos	Pale-billed Flowerpecker
Dicaeum concolor	Nilgiri Flowerpecker
Dicaeum minullum	Plain Flowerpecker
Dicaeum virescens	Andaman Flowerpecker
Dicaeum pygmaeum	Pygmy Flowerpecker
Dicaeum nehrkorni	Crimson-crowned Flowerpecker
Dicaeum schistaceiceps	Halmahera Flowerpecker
Dicaeum erythrothorax	Buru Flowerpecker
Dicaeum vulneratum	Ashy Flowerpecker
Dicaeum pectorale	Olive-crowned Flowerpecker
Dicaeum geelvinkianum	Red-capped Flowerpecker
Dicaeum nitidum	Louisiade Flowerpecker
Dicaeum eximium	Red-banded Flowerpecker
Dicaeum aeneum	Midget Flowerpecker
Dicaeum tristrami	Mottled Flowerpecker
Dicaeum igniferum	Black-fronted Flowerpecker
Dicaeum maugei	Red-chested Flowerpecker
Dicaeum ignipectus	Fire-breasted Flowerpecker
Dicaeum cambodianum	Cambodian Flowerpecker
Dicaeum luzoniense	Fire-throated Flowerpecker
Dicaeum beccarii	Sumatran Flowerpecker
Dicaeum monticolum	Black-sided Flowerpecker
Dicaeum celebicum	Grey-sided Flowerpecker
Dicaeum sanguinolentum	Javan Flowerpecker
Dicaeum rhodopygiale	Flores Flowerpecker
Dicaeum wilhelminae	Sumba Flowerpecker
Dicaeum hanieli	Timor Flowerpecker
Dicaeum keiense	Pink-breasted Flowerpecker
Dicaeum hirundinaceum	Mistletoebird
Dicaeum cruentatum	Scarlet-backed Flowerpecker
Dicaeum trochileum	Scarlet-headed Flowerpecker
Kurochkinegramma hypogrammicum	Purple-naped Spiderhunter
Arachnothera crassirostris	Thick-billed Spiderhunter
Arachnothera robusta	Long-billed Spiderhunter
Arachnothera flammifera	Orange-tufted Spiderhunter
Arachnothera dilutior	Pale Spiderhunter
Arachnothera longirostra	Little Spiderhunter
Arachnothera juliae	Whitehead's Spiderhunter
Arachnothera clarae	Naked-faced Spiderhunter
Arachnothera chrysogenys	Yellow-eared Spiderhunter
Arachnothera flavigaster	Spectacled Spiderhunter
Arachnothera magna	Streaked Spiderhunter
Arachnothera affinis	Streaky-breasted Spiderhunter
Arachnothera modesta	Grey-breasted Spiderhunter
Arachnothera everetti	Bornean Spiderhunter
Chalcoparia singalensis	Ruby-cheeked Sunbird
Anthreptes reichenowi	Plain-backed Sunbird
Anthreptes anchietae	Anchieta's Sunbird
Anthreptes simplex	Plain Sunbird
Anthreptes malacensis	Brown-throated Sunbird
Anthreptes griseigularis	Grey-throated Sunbird
Anthreptes rhodolaemus	Red-throated Sunbird
Anthreptes gabonicus	Mangrove Sunbird
Anthreptes longuemarei	Western Violet-backed Sunbird
Anthreptes orientalis	Eastern Violet-backed Sunbird
Anthreptes neglectus	Uluguru Violet-backed Sunbird
Anthreptes aurantius	Violet-tailed Sunbird
Anthreptes seimundi	Little Green Sunbird
Anthreptes rectirostris	Yellow-chinned Sunbird
Anthreptes tephrolaemus	Grey-chinned Sunbird
Anthreptes rubritorques	Banded Green Sunbird
Leptocoma zeylonica	Purple-rumped Sunbird
Leptocoma minima	Crimson-backed Sunbird
Leptocoma brasiliana	Van Hasselt's Sunbird
Leptocoma sperata	Purple-throated Sunbird
Leptocoma aspasia	Black Sunbird
Leptocoma calcostetha	Copper-throated Sunbird
Aethopyga duyvenbodei	Elegant Sunbird
Aethopyga ignicauda	Fire-tailed Sunbird
Aethopyga saturata	Black-throated Sunbird
Aethopyga gouldiae	Mrs. Gould's Sunbird
Aethopyga nipalensis	Green-tailed Sunbird
Aethopyga shelleyi	Lovely Sunbird
Aethopyga temminckii	Temminck's Sunbird
Aethopyga mystacalis	Javan Sunbird
Aethopyga vigorsii	Vigors's Sunbird
Aethopyga siparaja	Crimson Sunbird
Aethopyga magnifica	Magnificent Sunbird
Aethopyga christinae	Fork-tailed Sunbird
Aethopyga bella	Handsome Sunbird
Aethopyga eximia	White-flanked Sunbird
Aethopyga flagrans	Flaming Sunbird
Aethopyga guimarasensis	Maroon-naped Sunbird
Aethopyga pulcherrima	Metallic-winged Sunbird
Aethopyga linaraborae	Lina's Sunbird
Aethopyga primigenia	Grey-hooded Sunbird
Aethopyga boltoni	Apo Sunbird
Aethopyga tibolii	Tboli Sunbird
Hedydipna collaris	Collared Sunbird
Hedydipna platura	Pygmy Sunbird
Hedydipna metallica	Nile Valley Sunbird
Hedydipna pallidigaster	Amani Sunbird
Anabathmis reichenbachii	Reichenbach's Sunbird
Anabathmis hartlaubii	Principe Sunbird
Anabathmis newtonii	Newton's Sunbird
Anthobaphes violacea	Orange-breasted Sunbird
Cyanomitra verticalis	Green-headed Sunbird
Cyanomitra bannermani	Bannerman's Sunbird
Cyanomitra cyanolaema	Blue-throated Brown Sunbird
Cyanomitra oritis	Cameroon Sunbird
Cyanomitra alinae	Blue-headed Sunbird
Cyanomitra olivacea	Olive Sunbird
Cyanomitra veroxii	Grey Sunbird
Deleornis axillaris	Grey-headed Sunbird
Deleornis fraseri	Fraser's Sunbird
Dreptes thomensis	Giant Sunbird
Nectarinia bocagii	Bocage's Sunbird
Nectarinia purpureiventris	Purple-breasted Sunbird
Nectarinia tacazze	Tacazze Sunbird
Nectarinia kilimensis	Bronze Sunbird
Nectarinia famosa	Malachite Sunbird
Nectarinia johnstoni	Scarlet-tufted Sunbird
Drepanorhynchus reichenowi	Golden-winged Sunbird
Chalcomitra adelberti	Buff-throated Sunbird
Chalcomitra fuliginosa	Carmelite Sunbird
Chalcomitra rubescens	Green-throated Sunbird
Chalcomitra amethystina	Amethyst Sunbird
Chalcomitra senegalensis	Scarlet-chested Sunbird
Chalcomitra hunteri	Hunter's Sunbird
Chalcomitra balfouri	Socotra Sunbird
Cinnyris chloropygius	Olive-bellied Sunbird
Cinnyris minullus	Tiny Sunbird
Cinnyris gertrudis	Western Miombo Sunbird
Cinnyris manoensis	Eastern Miombo Sunbird
Cinnyris chalybeus	Southern Double-collared Sunbird
Cinnyris neergaardi	Neergaard's Sunbird
Cinnyris stuhlmanni	Rwenzori Double-collared Sunbird
Cinnyris prigoginei	Prigogine's Double-collared Sunbird
Cinnyris ludovicensis	Ludwig's Double-collared Sunbird
Cinnyris reichenowi	Northern Double-collared Sunbird
Cinnyris afer	Greater Double-collared Sunbird
Cinnyris regius	Regal Sunbird
Cinnyris rockefelleri	Rockefeller's Sunbird
Cinnyris mediocris	Eastern Double-collared Sunbird
Cinnyris usambaricus	Usambara Double-collared Sunbird
Cinnyris fuelleborni	Forest Double-collared Sunbird
Cinnyris moreaui	Moreau's Sunbird
Cinnyris loveridgei	Loveridge's Sunbird
Cinnyris pulchellus	Beautiful Sunbird
Cinnyris melanogastrus	Gorgeous Sunbird
Cinnyris mariquensis	Marico Sunbird
Cinnyris shelleyi	Shelley's Sunbird
Cinnyris congensis	Congo Sunbird
Cinnyris erythrocercus	Red-chested Sunbird
Cinnyris nectarinioides	Black-bellied Sunbird
Cinnyris bifasciatus	Purple-banded Sunbird
Cinnyris tsavoensis	Tsavo Sunbird
Cinnyris chalcomelas	Violet-breasted Sunbird
Cinnyris pembae	Pemba Sunbird
Cinnyris bouvieri	Orange-tufted Sunbird
Cinnyris osea	Palestine Sunbird
Cinnyris habessinicus	Abyssinian Sunbird
Cinnyris hellmayri	Arabian Sunbird
Cinnyris coccinigastrus	Splendid Sunbird
Cinnyris johannae	Johanna's Sunbird
Cinnyris superbus	Superb Sunbird
Cinnyris rufipennis	Rufous-winged Sunbird
Cinnyris oustaleti	Oustalet's Sunbird
Cinnyris talatala	White-bellied Sunbird
Cinnyris venustus	Variable Sunbird
Cinnyris fuscus	Dusky Sunbird
Cinnyris ursulae	Ursula's Sunbird
Cinnyris batesi	Bates's Sunbird
Cinnyris cupreus	Copper Sunbird
Cinnyris asiaticus	Purple Sunbird
Cinnyris ornatus	Ornate Sunbird
Cinnyris infrenatus	Tukangbesi Sunbird
Cinnyris frenatus	Sahul Sunbird
Cinnyris jugularis	Garden Sunbird
Cinnyris aurora	Palawan Sunbird
Cinnyris clementiae	South Moluccan Sunbird
Cinnyris teysmanni	Flores Sea Sunbird
Cinnyris idenburgi	Mamberamo Sunbird
Cinnyris buettikoferi	Apricot-breasted Sunbird
Cinnyris solaris	Flame-breasted Sunbird
Cinnyris sovimanga	Souimanga Sunbird
Cinnyris notatus	Malagasy Green Sunbird
Cinnyris dussumieri	Seychelles Sunbird
Cinnyris humbloti	Humblot's Sunbird
Cinnyris comorensis	Anjouan Sunbird
Cinnyris coquerellii	Mayotte Sunbird
Cinnyris lotenius	Loten's Sunbird
Chloropsis flavipennis	Philippine Leafbird
Chloropsis palawanensis	Yellow-throated Leafbird
Chloropsis sonnerati	Greater Green Leafbird
Chloropsis cyanopogon	Lesser Green Leafbird
Chloropsis moluccensis	Blue-winged Leafbird
Chloropsis cochinchinensis	Javan Leafbird
Chloropsis kinabaluensis	Bornean Leafbird
Chloropsis jerdoni	Jerdon's Leafbird
Chloropsis aurifrons	Golden-fronted Leafbird
Chloropsis media	Sumatran Leafbird
Chloropsis hardwickii	Orange-bellied Leafbird
Chloropsis venusta	Blue-masked Leafbird
Irena puella	Asian Fairy-bluebird
Irena tweeddalii	Palawan Fairy-bluebird
Irena cyanogastra	Philippine Fairy-bluebird
Peucedramus taeniatus	Olive Warbler
Urocynchramus pylzowi	Przevalski's Finch
Amblyospiza albifrons	Thick-billed Weaver
Histurgops ruficauda	Rufous-tailed Weaver
Sporopipes frontalis	Speckle-fronted Weaver
Sporopipes squamifrons	Scaly-feathered Weaver
Philetairus socius	Sociable Weaver
Pseudonigrita cabanisi	Black-capped Social Weaver
Pseudonigrita arnaudi	Grey-capped Social Weaver
Plocepasser mahali	White-browed Sparrow-Weaver
Plocepasser superciliosus	Chestnut-crowned Sparrow-Weaver
Plocepasser rufoscapulatus	Chestnut-backed Sparrow-Weaver
Plocepasser donaldsoni	Donaldson Smith's Sparrow-Weaver
Dinemellia dinemelli	White-headed Buffalo Weaver
Bubalornis albirostris	White-billed Buffalo Weaver
Bubalornis niger	Red-billed Buffalo Weaver
Ploceus flavipes	Yellow-legged Weaver
Ploceus bertrandi	Bertram's Weaver
Ploceus baglafecht	Baglafecht Weaver
Ploceus nigrimentus	Black-chinned Weaver
Ploceus bannermani	Bannerman's Weaver
Ploceus batesi	Bates's Weaver
Ploceus luteolus	Little Weaver
Ploceus pelzelni	Slender-billed Weaver
Ploceus subpersonatus	Loango Weaver
Ploceus brachypterus	Olive-naped Weaver
Ploceus nigricollis	Black-necked Weaver
Ploceus ocularis	Spectacled Weaver
Ploceus melanogaster	Black-billed Weaver
Ploceus alienus	Strange Weaver
Ploceus capensis	Cape Weaver
Ploceus temporalis	Bocage's Weaver
Ploceus subaureus	Eastern Golden Weaver
Ploceus xanthops	Holub's Golden Weaver
Ploceus aurantius	Orange Weaver
Ploceus bojeri	Golden Palm Weaver
Ploceus castaneiceps	Taveta Weaver
Ploceus princeps	Principe Weaver
Ploceus xanthopterus	Southern Brown-throated Weaver
Ploceus castanops	Northern Brown-throated Weaver
Ploceus burnieri	Kilombero Weaver
Ploceus holoxanthus	Ruvu Weaver
Ploceus taeniopterus	Northern Masked Weaver
Ploceus intermedius	Lesser Masked Weaver
Ploceus velatus	Southern Masked Weaver
Ploceus vitellinus	Vitelline Masked Weaver
Ploceus reichardi	Tanzanian Masked Weaver
Ploceus katangae	Katanga Masked Weaver
Ploceus ruweti	Lufira Masked Weaver
Ploceus heuglini	Heuglin's Masked Weaver
Ploceus galbula	Rüppell's Weaver
Ploceus spekei	Speke's Weaver
Ploceus spekeoides	Fox's Weaver
Ploceus castaneofuscus	Chestnut-and-black Weaver
Ploceus nigerrimus	Vieillot's Black Weaver
Ploceus cucullatus	Village Weaver
Ploceus grandis	Giant Weaver
Ploceus weynsi	Weyns's Weaver
Ploceus golandi	Kilifi Weaver
Ploceus dichrocephalus	Juba Weaver
Ploceus melanocephalus	Black-headed Weaver
Ploceus jacksoni	Golden-backed Weaver
Ploceus rubiginosus	Chestnut Weaver
Ploceus badius	Cinnamon Weaver
Ploceus aureonucha	Golden-naped Weaver
Ploceus tricolor	Yellow-mantled Weaver
Ploceus albinucha	Maxwell's Black Weaver
Ploceus bicolor	Dark-backed Weaver
Ploceus insignis	Brown-capped Weaver
Ploceus dorsomaculatus	Yellow-capped Weaver
Ploceus preussi	Preuss's Weaver
Ploceus olivaceiceps	Olive-headed Weaver
Ploceus nicolli	Usambara Weaver
Ploceus angolensis	Bar-winged Weaver
Ploceus sanctithomae	Sao Tome Weaver
Ploceus nelicourvi	Nelicourvi Weaver
Ploceus sakalava	Sakalava Weaver
Ploceus manyar	Streaked Weaver
Ploceus philippinus	Baya Weaver
Ploceus hypoxanthus	Asian Golden Weaver
Ploceus megarhynchus	Finn's Weaver
Ploceus benghalensis	Black-breasted Weaver
Pachyphantes superciliosus	Compact Weaver
Quelea cardinalis	Cardinal Quelea
Quelea erythrops	Red-headed Quelea
Quelea quelea	Red-billed Quelea
Foudia madagascariensis	Red Fody
Foudia aldabrana	Aldabra Fody
Foudia eminentissima	Comoro Fody
Foudia omissa	Forest Fody
Foudia rubra	Mauritius Fody
Foudia sechellarum	Seychelles Fody
Foudia flavicans	Rodrigues Fody
Brachycope anomala	Bob-tailed Weaver
Euplectes franciscanus	Northern Red Bishop
Euplectes orix	Southern Red Bishop
Euplectes nigroventris	Zanzibar Red Bishop
Euplectes hordeaceus	Black-winged Red Bishop
Euplectes gierowii	Black Bishop
Euplectes afer	Yellow-crowned Bishop
Euplectes diadematus	Fire-fronted Bishop
Euplectes aureus	Golden-backed Bishop
Euplectes capensis	Yellow Bishop
Euplectes albonotatus	White-winged Widowbird
Euplectes macroura	Yellow-mantled Widowbird
Euplectes laticauda	Red-cowled Widowbird
Euplectes ardens	Red-collared Widowbird
Euplectes axillaris	Fan-tailed Widowbird
Euplectes hartlaubi	Marsh Widowbird
Euplectes psammacromius	Montane Widowbird
Euplectes progne	Long-tailed Widowbird
Euplectes jacksoni	Jackson's Widowbird
Anaplectes jubaensis	Red Weaver
Anaplectes rubriceps	Red-headed Weaver
Malimbus coronatus	Red-crowned Malimbe
Malimbus cassini	Cassin's Malimbe
Malimbus ballmanni	Gola Malimbe
Malimbus racheliae	Rachel's Malimbe
Malimbus scutatus	Red-vented Malimbe
Malimbus ibadanensis	Ibadan Malimbe
Malimbus erythrogaster	Red-bellied Malimbe
Malimbus nitens	Blue-billed Malimbe
Malimbus malimbicus	Crested Malimbe
Malimbus rubricollis	Red-headed Malimbe
Anomalospiza imberbis	Cuckoo-finch
Vidua paradisaea	Long-tailed Paradise Whydah
Vidua obtusa	Broad-tailed Paradise Whydah
Vidua togoensis	Togo Paradise Whydah
Vidua interjecta	Exclamatory Paradise Whydah
Vidua orientalis	Sahel Paradise Whydah
Vidua macroura	Pin-tailed Whydah
Vidua hypocherina	Steel-blue Whydah
Vidua regia	Shaft-tailed Whydah
Vidua fischeri	Straw-tailed Whydah
Vidua chalybeata	Village Indigobird
Vidua codringtoni	Zambezi Indigobird
Vidua purpurascens	Purple Indigobird
Vidua funerea	Dusky Indigobird
Vidua wilsoni	Wilson's Indigobird
Vidua nigeriae	Quailfinch Indigobird
Vidua maryae	Jos Plateau Indigobird
Vidua raricola	Jambandu Indigobird
Vidua larvaticola	Barka Indigobird
Vidua camerunensis	Cameroon Indigobird
